zonecode,latitude,longitude,easting,northing,iz_code,mmw_code,spc11_code,spc07_code,chp_code,la_code,hb_code,sgur2010_6fold,lec_code,nuts1_code,nuts2_code,nuts3_code,nuts4_code,simd2009_vigintiles,sett2008_code,comreg_loc_code,comreg_cpp_code
S01000001,57.095305,-2.26952,383768,800514,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,16,191,,
S01000002,57.095932,-2.08822,394754,800555,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000003,57.097955,-2.08565,394910,800780,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000004,57.098271,-2.096081,394278,800816,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000005,57.096788,-2.273624,383520,800680,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,19,191,,
S01000006,57.098611,-2.265385,384020,800881,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,13,191,,
S01000007,57.098922,-2.25829,384450,800914,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,20,191,,
S01000008,57.099819,-2.267721,383879,801016,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,16,191,,
S01000009,57.100833,-2.081035,395190,801100,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000010,57.100827,-2.089783,394660,801100,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,17,479,,
S01000011,57.104682,-2.239281,385604,801551,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,20,191,,
S01000012,57.095647,-2.097609,394185,800524,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,17,479,,
S01000013,57.101997,-2.273992,383500,801260,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,13,191,,
S01000014,57.102002,-2.078726,395330,801230,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,16,479,,
S01000015,57.104869,-2.089957,394650,801550,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000016,57.106956,-2.219221,386820,801800,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,20,191,,
S01000017,57.105232,-2.084164,395001,801590,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000018,57.106937,-2.086496,394860,801780,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000019,57.107628,-2.23022,386154,801877,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,19,191,,
S01000020,57.114348,-2.18005,389195,802616,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,12,479,,
S01000021,57.113293,-2.114414,393170,802490,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000022,57.113268,-2.204728,387700,802500,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000023,57.110515,-2.237733,385700,802200,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,19,191,,
S01000024,57.110945,-2.289743,382550,802260,S02000003,109,S16000076,3,S03000012,100,S08000006,5,8,UKM,UKM5,UKM50,UKM5001,17,,,
S01000025,57.117235,-2.195998,388230,802940,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000026,57.116794,-2.117562,392980,802880,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000027,57.116254,-2.191205,388520,802830,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000028,57.116619,-2.112112,393310,802860,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,8,479,,
S01000029,57.117396,-2.207228,387550,802960,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000030,57.117792,-2.10551,393710,802990,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,7,479,,
S01000031,57.117716,-2.174204,389550,802990,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000032,57.119236,-2.097918,394170,803150,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000033,57.121366,-2.107766,393574,803388,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000034,57.120291,-2.170368,389783,803276,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000035,57.121985,-2.136735,391820,803460,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000036,57.120179,-2.14482,391330,803260,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000037,57.120103,-2.091249,394574,803246,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000038,57.12282,-2.108662,393520,803550,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,11,479,,
S01000039,57.122334,-2.145654,391280,803500,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000040,57.122556,-2.102056,393920,803520,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000041,57.123823,-2.112596,393282,803662,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,12,479,,
S01000042,57.122415,-2.129041,392286,803507,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,8,479,,
S01000043,57.126309,-2.125024,392530,803940,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,13,479,,
S01000044,57.123479,-2.133371,392024,803626,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000045,57.125031,-2.144179,391370,803800,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000046,57.127272,-2.148151,391130,804050,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000047,57.127571,-2.119908,392840,804080,S02000010,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,11,479,,
S01000048,57.127823,-2.137252,391790,804110,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000049,57.129193,-2.133111,392041,804262,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000050,57.130101,-2.123666,392613,804362,S02000011,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000051,57.12941,-2.155147,390707,804289,S02000013,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000052,57.130204,-2.085558,394920,804370,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,S06000006,S05000001
S01000053,57.130449,-2.115953,393080,804400,S02000010,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,17,479,,
S01000054,57.130239,-2.146016,391260,804380,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000055,57.131102,-2.086221,394880,804470,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,S06000006,S05000001
S01000056,57.121851,-2.190754,388549,803453,S02000007,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000057,57.131556,-2.079449,395290,804520,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,S06000006,S05000001
S01000058,57.131152,-2.132474,392080,804480,S02000011,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000059,57.134675,-2.100982,393987,804869,S02000010,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000060,57.134523,-2.074169,395610,804850,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,1,479,S06000006,S05000001
S01000061,57.13331,-2.154568,390743,804723,S02000013,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000062,57.133411,-2.118935,392900,804730,S02000011,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000063,57.133226,-2.125047,392530,804710,S02000011,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000064,57.132574,-2.087446,394806,804634,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,12,479,,
S01000065,57.132608,-2.113316,393240,804640,S02000010,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,16,479,,
S01000066,57.134062,-2.09234,394510,804800,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000067,57.134468,-2.139424,391660,804850,S02000013,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000068,57.134411,-2.105557,393710,804840,S02000010,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000069,57.134741,-2.084874,394962,804875,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,,
S01000070,57.134971,-2.076813,395450,804900,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,7,479,S06000006,S05000001
S01000071,57.134708,-2.080083,395252,804871,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,S06000006,S05000001
S01000072,57.143362,-2.17477,389523,805845,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,13,479,,
S01000073,57.13437,-2.147023,391200,804840,S02000013,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000074,57.134885,-2.069874,395870,804890,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,2,479,S06000006,S05000001
S01000075,57.135663,-2.112169,393310,804980,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000076,57.135338,-2.162722,390250,804950,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000077,57.136564,-2.128214,392339,805082,S02000017,110,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000078,57.136489,-2.089702,394670,805070,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000079,57.136724,-2.099913,394052,805097,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000080,57.137177,-2.117097,393012,805149,S02000011,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000081,57.13645,-2.133979,391990,805070,S02000017,110,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000082,57.13767,-2.070375,395840,805200,S02000015,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000083,57.138437,-2.124073,392590,805290,S02000017,110,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000084,57.136926,-2.082252,395121,805118,S02000012,112,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,4,479,,
S01000085,57.138995,-2.11284,393270,805351,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000086,57.137915,-2.104741,393760,805230,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000087,57.137783,-2.147532,391170,805220,S02000013,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000088,57.139024,-2.110328,393422,805354,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000089,57.138127,-2.15976,390430,805260,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000090,57.139943,-2.127003,392413,805458,S02000017,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000091,57.13995,-2.119617,392860,805458,S02000017,110,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000092,57.140196,-2.11557,393105,805485,S02000017,110,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000093,57.140162,-2.10326,393850,805480,S02000016,112,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000094,57.140964,-2.111028,393380,805570,S02000018,112,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,17,479,,
S01000095,57.141088,-2.123157,392646,805585,S02000017,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000096,57.143147,-2.167878,389940,805820,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000097,57.143818,-2.132849,392060,805890,S02000019,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000098,57.142679,-2.100954,393990,805760,S02000018,112,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,4,479,,
S01000099,57.143703,-2.154942,390723,805880,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000100,57.142404,-2.107397,393600,805730,S02000018,112,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000101,57.145176,-2.122278,392700,806040,S02000019,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000102,57.145446,-2.11162,393345,806069,S02000018,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000103,57.145094,-2.113023,393260,806030,S02000018,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000104,57.145543,-2.140539,391595,806083,S02000019,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000105,57.146069,-2.165743,390070,806145,S02000014,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000106,57.145346,-2.131863,392120,806060,S02000019,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000107,57.147346,-2.094306,394393,806279,S02000018,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,8,479,,
S01000108,57.147028,-2.087678,394794,806243,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000109,57.147525,-2.107081,393620,806300,S02000018,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000110,57.147259,-2.155965,390662,806276,S02000020,110,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000111,57.147618,-2.123426,392631,806312,S02000021,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000112,57.148059,-2.112702,393280,806360,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000113,57.148036,-2.127939,392358,806359,S02000023,110,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000114,57.149518,-2.1727,389650,806530,S02000020,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000115,57.149715,-2.159644,390440,806550,S02000020,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,8,479,,
S01000116,57.149042,-2.11882,392910,806470,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000117,57.148669,-2.132536,392080,806430,S02000023,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,19,479,,
S01000118,57.15098,-2.154195,390770,806690,S02000020,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000119,57.149451,-2.113351,393241,806515,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,7,479,,
S01000120,57.148949,-2.121794,392730,806460,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000121,57.150542,-2.144938,391330,806640,S02000023,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000122,57.150411,-2.176505,389420,806630,S02000020,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000123,57.149931,-2.219111,386842,806584,S02000035,103,S16000075,2,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,17,195,,
S01000124,57.150137,-2.109386,393481,806591,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000125,57.152194,-2.098516,394139,806819,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000126,57.15113,-2.092217,394520,806700,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000127,57.150823,-2.1337,392010,806670,S02000023,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000128,57.150734,-2.104463,393779,806657,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,15,479,,
S01000129,57.151588,-2.102895,393874,806752,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000130,57.152568,-2.091228,394580,806860,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000131,57.150653,-2.124444,392570,806650,S02000023,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,20,479,,
S01000132,57.151379,-2.117009,393020,806730,S02000021,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000133,57.1514,-2.176014,389450,806740,S02000027,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,9,479,,
S01000134,57.15285,-2.167261,389980,806900,S02000025,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000135,57.153484,-2.103131,393860,806963,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,3,479,,
S01000136,57.154114,-2.162307,390280,807040,S02000025,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000137,57.15237,-2.113541,393230,806840,S02000026,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,12,479,,
S01000138,57.153094,-2.095709,394309,806919,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000139,57.154279,-2.173383,389610,807060,S02000027,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,8,479,,
S01000140,57.154087,-2.181481,389120,807040,S02000027,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000141,57.153251,-2.131725,392130,806940,S02000023,107,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,18,479,,
S01000142,57.153776,-2.152058,390900,807001,S02000025,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,4,479,,
S01000143,57.154382,-2.22165,386690,807080,S02000035,103,S16000075,2,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,20,195,,
S01000144,57.154992,-2.092226,394520,807130,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,14,479,,
S01000145,57.15553,-2.178017,389330,807200,S02000027,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,5,479,,
S01000146,57.155698,-2.109088,393500,807210,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
S01000147,57.155084,-2.089251,394700,807140,S02000022,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000148,57.155814,-2.167439,389970,807230,S02000025,104,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,2,479,,
S01000149,57.156688,-2.106446,393660,807320,S02000024,108,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,10,479,,
S01000150,57.15502,-2.1557,390680,807140,S02000025,103,S16000075,2,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,7,479,,
S01000151,57.156467,-2.147936,391150,807300,S02000028,105,S16000074,1,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,6,479,,
