hb_code,hb_name,hb_cdo,hb_id,latitude,longitude, midyr_pop_est_2011 ,midyr_pop_est_2010
S08000001,Ayrshire and Arran,SA9,A,55.56617569,-4.609001654,366890 ,366860 
S08000002,Borders,SB9,B,55.60719345,-2.700453546,113150 ,112870 
S08000003,Dumfries and Galloway,SY9,Y,55.02778474,-3.820252751,148060 ,148190 
S08000004,Fife,SF9,F,56.16307275,-3.200161141,367292 ,364945 
S08000005,Forth Valley,SV9,V,56.06499028,-3.852016162,295541 ,293386 
S08000006,Grampian,SN9,N,57.3067537,-2.392305689,555280 ,550620 
S08000007,Greater Glasgow and Clyde,SJ9,G,55.86898807,-4.344957401,1210254 ,1203870 
S08000008,Highland,SK9,H,57.14428949,-4.576283947,311960 ,310830 
S08000009,Lanarkshire,SL9,L,55.8023507,-4.002656725,563185 ,562477 
S08000010,Lothian,SS9,S,55.92677663,-3.242275722,848727 ,836711 
S08000011,Orkney,SR9,R,59.00022226,-3.02640937,20160 ,20110 
S08000012,Shetland,SZ9,Z,60.22043173,-1.216115067,22500 ,22400 
S08000013,Tayside,ST9,T,56.49641647,-3.087115032,405721 ,402641 
S08000014,Western Isles,SW9,W,57.99198078,-6.676736083,26080 ,26190 
