iz_code,iz_name,latitude,longitude,easting,northing,hb_code,la_code,spc_code,lec_code,chp_code,mmw_code,nuts1_code,nuts2_code,nuts3_code,nuts4_code
S02000085,Peterhead Links,57.496671,-1.804954,411790,845180,S08000006,110,S16000085,8,S03000013,206,UKM,UKM5,UKM50,UKM5002
S02000086,Peterhead Bay,57.505463,-1.797731,412220,846160,S08000006,110,S16000085,8,S03000013,206,UKM,UKM5,UKM50,UKM5002
S02000087,Auchterless and Monquhitter,57.47386,-2.512867,369340,842740,S08000006,110,S16000077,8,S03000013,207,UKM,UKM5,UKM50,UKM5002
S02000088,Peterhead Harbour,57.508703,-1.790587,412647,846522,S08000006,110,S16000085,8,S03000013,205,UKM,UKM5,UKM50,UKM5002
S02000089,Peterhead Ugieside,57.510782,-1.810053,411480,846750,S08000006,110,S16000085,8,S03000013,205,UKM,UKM5,UKM50,UKM5002
S02000090,Mintlaw,57.523499,-2.007502,399650,848150,S08000006,110,S16000077,8,S03000013,204,UKM,UKM5,UKM50,UKM5002
S02000091,Turriff,57.539943,-2.462265,372425,850075,S08000006,110,S16000077,8,S03000013,207,UKM,UKM5,UKM50,UKM5002
S02000092,Longside and Rattray,57.558004,-1.851521,408984,852001,S08000006,110,S16000085,8,S03000013,205,UKM,UKM5,UKM50,UKM5002
S02000093,Deer and Mormond,57.520985,-2.124617,392635,847877,S08000006,110,S16000077,8,S03000013,204,UKM,UKM5,UKM50,UKM5002
S02000094,New Pitsligo,57.592175,-2.198666,388223,855813,S08000006,110,S16000077,8,S03000013,204,UKM,UKM5,UKM50,UKM5002
S02000095,Aberchirder and Whitehills,57.643972,-2.577263,365639,861709,S08000006,110,S16000085,8,S03000013,201,UKM,UKM5,UKM50,UKM5002
S02000096,Gardenstown and King Edward,57.625136,-2.325939,380632,859512,S08000006,110,S16000085,8,S03000013,202,UKM,UKM5,UKM50,UKM5002
S02000097,"Portsoy, Fordyce and Cornhill",57.666031,-2.710015,357740,864240,S08000006,110,S16000085,8,S03000013,201,UKM,UKM5,UKM50,UKM5002
S02000098,Rosehearty and Strathbeg,57.648401,-2.042194,397581,862056,S08000006,110,S16000085,8,S03000013,203,UKM,UKM5,UKM50,UKM5002
S02000099, ,57.666519,-2.527586,368624,864195,S08000006,110,S16000085,8,S03000013,201,UKM,UKM5,UKM50,UKM5002
S02000100,Macduff,57.667692,-2.488195,370975,864308,S08000006,110,S16000085,8,S03000013,202,UKM,UKM5,UKM50,UKM5002
S02000101,Fraserburgh Smiddyhill,57.682396,-2.017432,399060,865840,S08000006,110,S16000085,8,S03000013,203,UKM,UKM5,UKM50,UKM5002
S02000102,Fraserburgh Lochpots,57.683678,-2.028501,398400,865983,S08000006,110,S16000085,8,S03000013,203,UKM,UKM5,UKM50,UKM5002
S02000103,Fraserburgh Central-Academy,57.687875,-2.018106,399020,866450,S08000006,110,S16000085,8,S03000013,203,UKM,UKM5,UKM50,UKM5002
S02000104,Fraserburgh Harbour and Broadsea,57.693192,-2.018243,399012,867042,S08000006,110,S16000085,8,S03000013,203,UKM,UKM5,UKM50,UKM5002
S02000105,Monifieth West,56.482177,-2.830311,348960,732540,S08000013,120,S16000082,21,S03000038,304,UKM,UKM2,UKM21,UKM2101
S02000106,Monifieth East,56.484397,-2.820779,349550,732780,S08000013,120,S16000082,21,S03000038,304,UKM,UKM2,UKM21,UKM2101
S02000107,Carnoustie West,56.497693,-2.734816,354860,734200,S08000013,120,S16000082,21,S03000038,305,UKM,UKM2,UKM21,UKM2101
S02000108,Carnoustie East,56.505973,-2.710785,356349,735106,S08000013,120,S16000082,21,S03000038,305,UKM,UKM2,UKM21,UKM2101
S02000109,Monikie,56.532666,-2.793567,351288,738133,S08000013,120,S16000082,21,S03000038,305,UKM,UKM2,UKM21,UKM2101
S02000110,South Angus,56.513887,-3.034462,336440,736240,S08000013,120,S16000082,21,S03000038,304,UKM,UKM2,UKM21,UKM2101
S02000111,Arbroath Keptie,56.561725,-2.595202,363517,741244,S08000013,120,S16000082,21,S03000038,306,UKM,UKM2,UKM21,UKM2101
S02000112,Arbroath Harbour,56.560594,-2.581745,364343,741111,S08000013,120,S16000082,21,S03000038,307,UKM,UKM2,UKM21,UKM2101
S02000113,Arbroath Kirkton,56.563613,-2.607728,362749,741461,S08000013,120,S16000082,21,S03000038,306,UKM,UKM2,UKM21,UKM2101
S02000114,Arbroath Cliffburn,56.567474,-2.568393,365170,741870,S08000013,120,S16000082,21,S03000038,307,UKM,UKM2,UKM21,UKM2101
S02000115,Arbroath Warddykes,56.572071,-2.584574,364180,742390,S08000013,120,S16000082,21,S03000038,307,UKM,UKM2,UKM21,UKM2101
S02000116,Letham and Glamis,56.62578,-2.851718,347840,748540,S08000013,120,S16000081,21,S03000038,303,UKM,UKM2,UKM21,UKM2101
S02000117,Kirriemuir Landward,56.63817,-3.116317,331628,750152,S08000013,120,S16000082,21,S03000038,301,UKM,UKM2,UKM21,UKM2101
S02000118,Forfar West,56.636955,-2.897945,345020,749820,S08000013,120,S16000081,21,S03000038,303,UKM,UKM2,UKM21,UKM2101
S02000119,Forfar Central,56.644723,-2.880828,346081,750671,S08000013,120,S16000081,21,S03000038,303,UKM,UKM2,UKM21,UKM2101
S02000120,Forfar East,56.649576,-2.885556,345798,751215,S08000013,120,S16000081,21,S03000038,303,UKM,UKM2,UKM21,UKM2101
S02000121,Lunan,56.694453,-2.478366,370801,755962,S08000013,120,S16000081,21,S03000038,308,UKM,UKM2,UKM21,UKM2101
S02000122,Friockheim,56.640543,-2.659019,359679,750053,S08000013,120,S16000082,21,S03000038,307,UKM,UKM2,UKM21,UKM2101
S02000123,Kirriemuir,56.675226,-3.006109,338448,754172,S08000013,120,S16000082,21,S03000038,301,UKM,UKM2,UKM21,UKM2101
S02000124,Montrose South,56.712461,-2.467731,371466,757962,S08000013,120,S16000081,21,S03000038,308,UKM,UKM2,UKM21,UKM2101
S02000125,Montrose North,56.720248,-2.470605,371296,758830,S08000013,120,S16000081,21,S03000038,308,UKM,UKM2,UKM21,UKM2101
S02000126,Brechin East,56.730493,-2.648043,360447,760059,S08000013,120,S16000081,21,S03000038,302,UKM,UKM2,UKM21,UKM2101
S02000127,Brechin West,56.734505,-2.660812,359670,760513,S08000013,120,S16000081,21,S03000038,302,UKM,UKM2,UKM21,UKM2101
