CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
00C,106384,52494,53890,3189,3203,3039,3018,3058,3227,3351,3254,3783,4069,3887,3412,3120,3081,2079,1712,1115,649,213,35,3039,3097,2845,3044,3149,3330,3360,3214,3735,3882,3888,3390,3150,3168,2236,2100,1523,1058,561,121
00D,288087,143002,145085,8148,8237,7797,8687,8546,8750,8711,7870,9815,11286,10826,9846,8973,8935,6198,4934,3224,1608,535,76,7670,7909,7383,8134,8439,8476,8437,7830,9839,11059,10766,9890,9139,9166,6661,5751,4334,2674,1208,320
00F,205524,102472,103052,5782,5443,5182,6195,6388,7002,7324,6419,7261,7875,7633,6761,5895,5783,4031,3547,2410,1139,353,49,5463,5463,5002,5923,5982,6872,7086,6068,6999,7555,7323,6452,5808,6098,4563,4246,3187,1891,840,231
00G,161113,81447,79666,3857,3467,3271,5556,12496,9440,7038,5396,5213,5030,4746,4053,3379,2992,1957,1588,1085,626,223,34,3656,3236,3074,6040,14149,8419,5955,4298,4232,4422,4389,3816,3279,2994,2223,1996,1666,1079,586,157
00H,134705,68297,66408,4618,4263,3909,4248,5002,5590,5550,4824,4726,4685,4572,3897,3312,3043,2028,1794,1298,660,240,38,4401,4239,3684,3974,4627,5253,4942,4021,4071,4206,4348,3830,3257,3112,2416,2379,1789,1163,542,154
00J,251154,123992,127162,6670,6571,6165,7965,10987,8295,7760,6934,8439,9285,8713,7892,7441,7342,5149,4032,2583,1282,417,70,6197,6287,5882,8115,11615,8037,7560,6930,8281,9170,8723,7941,7452,7649,5511,4889,3441,2194,1014,274
00K,292237,144658,147579,9173,8995,8303,9063,9722,9766,9335,8320,10033,10868,10652,9478,8393,7893,5223,4413,3058,1408,491,71,8559,8781,7862,8578,9573,9761,9356,8353,9784,10806,10958,9509,8403,8104,5917,5403,4120,2365,1155,232
00L,321209,157710,163499,8088,8711,8634,9201,8708,8558,8195,8303,10267,11799,12289,11483,11220,11480,7772,6065,3946,2136,733,122,7679,7990,8273,8613,8185,8410,8581,8403,10695,12241,12582,11971,11573,11945,8411,7074,5294,3428,1718,433
00M,291705,145987,145718,9296,8902,8088,8813,10596,10991,9715,8534,9591,10504,10369,9288,8072,7955,5587,4551,3018,1498,529,90,8716,8519,7760,8581,10021,10187,9242,7708,9170,10337,10245,9180,8346,8169,6135,5392,4037,2466,1211,296
00N,154659,77153,77506,4233,4113,3905,4466,5151,5343,5078,4577,5475,6036,5917,5412,4633,4360,2950,2551,1710,867,319,57,4053,4008,3851,4229,4659,5192,4860,4206,4914,5722,5824,5160,4701,4426,3347,3089,2555,1689,847,174
00P,283638,141245,142393,7802,7836,7499,8247,9938,10009,9461,8335,10089,10749,10583,9693,8288,7813,5336,4525,3157,1359,463,63,7443,7652,6942,8037,9897,9637,8884,7966,9618,10288,10095,9423,8477,8265,6055,5502,4314,2534,1127,237
00Q,169318,85977,83341,6149,6017,5834,5981,5839,6214,6318,5768,6177,6263,5644,4785,4185,3837,2703,2035,1294,652,241,41,5768,5868,5449,5388,5421,6169,6080,5076,5768,5729,5230,4639,3970,3819,2820,2407,1821,1187,587,145
00R,172048,87084,84964,4561,4655,4352,4977,5531,5682,5649,4890,6311,7119,6878,5861,4945,5210,3841,3072,2030,1061,393,66,4435,4461,4174,4822,5363,5599,5027,4403,5542,6412,6032,5222,4761,5266,4126,3602,2755,1807,910,245
00T,297991,150294,147697,10097,10007,9304,9360,9759,10499,10498,9834,11126,11389,10265,8592,8002,7868,5437,4062,2394,1276,459,66,9572,9386,8434,8741,9381,10511,10106,8950,10300,10599,9778,8359,7800,8003,5941,4614,3544,2244,1175,259
00V,196961,97911,99050,6419,6386,5823,5782,6088,6299,6700,6122,7078,7673,7271,5860,5420,5514,3724,2794,1696,875,327,60,6138,6019,5534,5594,5811,6504,6621,6234,6888,7340,6994,5669,5397,5661,4107,3418,2513,1586,805,217
00W,218547,115383,103164,7460,6991,5746,7217,12309,12357,12514,10659,9190,8117,6491,4895,3411,2564,1945,1704,1078,541,157,37,7102,6760,5475,7474,14032,11326,10321,7678,6354,6084,4888,3680,2969,2399,2080,1894,1398,836,335,79
00X,176426,87842,88584,5244,5199,4797,4887,5023,5300,5600,5424,6525,7050,6627,5513,5312,5611,3953,2807,1740,869,317,44,4925,4888,4538,4770,4863,5581,5448,5319,6399,6851,6418,5553,5334,5660,4095,3132,2353,1482,782,193
00Y,243460,121589,121871,8548,8574,8121,7901,7868,8451,8586,7847,8809,9064,8262,6863,6262,5950,4244,3168,1804,886,331,50,8383,8474,7701,7417,7736,8754,8446,7296,8154,8453,7870,6622,6204,6278,4649,3790,2801,1717,902,224
01A,371968,186321,185647,11791,11891,11124,11418,11592,12519,12130,11206,13142,14117,13262,11574,10883,10908,7289,5429,3419,1849,677,101,11377,11377,10351,10799,11443,12245,12035,10741,12532,13194,12708,11379,10548,10951,7586,6156,4843,3257,1691,434
01C,204724,101131,103593,5498,5795,5446,5539,4917,5194,5770,6077,7359,8111,8065,6798,6436,6790,4740,3814,2715,1425,559,83,5162,5349,5268,5062,4616,5227,5718,5980,7405,8279,7904,6594,6447,7186,5244,4569,3504,2381,1320,378
01D,224372,112525,111847,7732,7695,6853,6982,7319,7775,7977,7236,8206,8604,7852,6736,6229,5542,3809,2891,1757,953,337,40,7264,7184,6414,6902,7351,8043,7896,6759,7521,7830,7420,6661,6004,5697,4172,3397,2617,1727,819,169
01E,210145,106003,104142,6313,6438,5665,6553,8545,7649,8011,6996,7601,7894,7441,6141,5378,5130,3770,3007,1996,1040,373,62,6150,6088,5443,6217,9033,7353,6939,6022,6945,7389,7107,5931,5306,5246,4073,3434,2672,1692,894,208
01F,129078,64434,64644,3986,4098,3660,3906,4131,4380,4437,4163,4719,4889,4624,4117,3874,3562,2379,1735,1049,523,178,24,3896,3883,3575,3696,4124,4391,4271,3915,4517,4598,4689,4208,3940,3535,2483,2022,1481,906,416,98
01G,254618,129040,125578,8996,8095,6619,7309,9741,11438,11327,9193,9158,9285,8506,6996,6056,5712,3969,3210,1958,1031,394,47,8487,7568,6490,7336,10294,11410,10367,7872,8015,8260,7733,6396,5692,5745,4474,3705,2795,1803,903,233
01H,520310,258413,261897,12923,13592,13434,15147,14806,14644,14386,13557,17265,20189,20401,17969,17345,18150,13098,9832,6750,3445,1269,211,12474,12734,12812,14029,14107,14179,14048,13170,17498,19904,19716,17933,17579,18155,13655,11603,8830,5845,2881,745
01J,160641,79489,81152,4924,4911,4521,5068,5644,5776,5391,4583,5518,6175,6394,5433,4308,3531,2624,2248,1554,669,181,36,4553,4595,4334,5028,5605,5940,5423,4523,5286,6151,6251,5276,4346,3771,3054,2938,2240,1229,501,108
01K,160422,80161,80261,4176,4087,3925,5632,7963,5508,5457,4595,5185,5619,5417,4614,4318,4567,3355,2645,1764,938,357,39,3872,3805,3799,5897,8231,4921,4659,4092,4780,5374,5241,4597,4520,4742,3568,3105,2450,1591,797,220
01M,195552,100436,95116,7497,6968,5673,5799,7158,9681,9530,7902,7445,7348,6165,5187,4043,3578,2443,1926,1236,591,228,38,7111,6692,5560,5598,7606,10032,8630,6560,5984,5915,5440,4490,3624,3469,2707,2306,1712,1022,505,153
01N,169560,85469,84091,5541,5033,4156,5255,8509,7846,8214,6703,6189,5961,5189,4443,3670,3094,2084,1493,1115,660,268,46,5369,4779,4091,5311,9311,8296,7845,5837,5121,5102,4710,3914,3472,3055,2244,1996,1660,1192,635,151
01R,177304,88216,89088,5086,5147,4752,5252,5471,5402,5350,5147,6302,7148,6810,5613,5211,5347,3982,2927,1839,1017,354,59,4706,4797,4706,5096,5269,5272,5169,5074,6412,6937,6499,5415,5240,5610,4208,3386,2472,1710,911,199
01T,154964,76294,78670,4397,4070,4115,4628,5192,5155,4883,4290,5243,5816,6243,5240,4556,4114,3037,2501,1671,810,281,52,4038,4048,3964,4606,4840,5204,4770,4218,5175,5854,6188,5301,4477,4347,3520,3186,2580,1475,676,203
01V,122492,59620,62872,2925,3142,3180,3408,3245,3457,3244,3008,3888,4547,4590,4030,3802,4051,3122,2634,1933,970,388,56,2743,2851,3071,3213,3237,3274,3134,3053,3883,4605,4684,4208,3926,4512,3629,3366,2601,1737,886,259
01W,301866,149210,152656,9135,9224,8224,8601,8694,9229,9852,9660,11001,11833,11029,9440,8578,8246,5920,4781,3264,1752,630,117,8764,8457,7909,8013,8424,9520,10172,9459,10766,11596,10979,9273,8490,8802,6719,5801,4677,2936,1493,406
01X,194121,96236,97885,5542,5427,5326,5662,5830,5956,6011,5812,7178,7499,7224,5975,5733,5924,4345,3398,2086,992,280,36,5403,5318,5006,5335,5702,6090,6008,5549,7020,7364,6845,6054,5851,6272,4681,3984,2768,1643,797,195
01Y,241987,120447,121540,7811,7501,6651,7330,7673,8150,7953,7344,8941,9737,9072,7419,6814,6706,4555,3293,2059,998,377,63,7604,7099,6504,6879,7676,8461,8073,7218,8466,9286,8723,7104,6652,6708,5052,4006,2889,1895,1002,243
02A,237070,117676,119394,7474,7617,7033,6901,6668,7504,8350,8107,9232,9351,8633,7296,6065,5674,4089,3464,2425,1245,472,76,7138,7344,6833,6375,6238,7574,8475,8127,8951,9070,8385,6942,6137,6103,4725,4239,3264,2114,1067,293
02D,102503,51088,51415,3149,3181,2826,3061,3085,3045,3048,3006,3772,4249,3923,3343,3098,3055,2049,1493,985,512,186,22,2985,2892,2737,2865,2852,3029,3045,2952,3740,4187,3827,3315,3039,3148,2196,1789,1336,936,457,88
02E,211738,105630,106108,6345,6449,6206,6214,6159,6487,6951,6842,8177,8863,8245,6601,5814,5708,4063,3218,1941,973,317,57,6033,6146,5799,5979,6014,6831,7018,6654,7861,8413,7844,6361,5734,5893,4672,3613,2570,1652,837,184
02F,257367,126999,130368,6801,7096,6710,7414,8204,7841,7873,7313,9046,10028,9798,8188,7710,7659,5679,4460,2947,1585,551,96,6407,6578,6446,7400,8663,7960,7890,7397,8925,9685,9429,8060,7728,8056,6194,5278,4006,2622,1309,335
02G,111987,55344,56643,2954,3221,3203,3513,3605,3221,3002,3009,3813,4479,4191,3589,3352,3489,2577,2093,1218,586,204,25,2789,2989,2957,3586,3783,3107,3009,2941,3927,4179,4078,3678,3506,3743,2803,2375,1576,1011,470,136
02H,321308,160923,160385,9688,9557,8924,9370,9908,10399,10538,9770,12275,13281,11703,9660,9181,9742,7248,4973,2883,1326,437,60,9280,9182,8347,8799,9724,10528,10214,9337,11696,12184,11196,9592,9212,10111,7464,5683,3969,2439,1139,289
02M,150459,73448,77011,3631,3798,3791,4203,3839,4082,3917,3618,4679,5554,5711,5021,4827,5331,4040,3303,2323,1251,469,60,3402,3665,3556,3885,3864,3929,3787,3658,4811,5616,5701,5106,4978,5677,4672,3983,3168,2214,1077,262
02N,156750,77372,79378,4510,4786,4779,4636,4260,4273,4554,4374,5414,5826,5804,5065,4811,4897,3334,2690,1831,1038,419,71,4256,4531,4393,4394,4081,4478,4399,4433,5363,5816,5716,5016,4856,5101,3609,3203,2623,1829,1013,268
02P,252594,125794,126800,7887,7516,6703,7514,7844,8079,8198,7341,9289,10268,9193,7969,7496,7223,5222,3836,2492,1263,415,46,7392,7066,6494,7222,7653,8152,8045,7109,9055,9775,9079,7981,7292,7498,5507,4574,3527,2129,1016,234
02Q,112878,56137,56741,3119,3178,3021,3434,3332,3292,3172,3107,3904,4481,4350,3754,3504,3765,2588,1947,1254,679,219,37,2990,2895,2882,3379,3200,3217,3133,3082,3917,4415,4174,3673,3674,3778,2811,2177,1638,1037,545,124
02R,335659,166303,169356,12092,12147,10830,10489,10275,11352,12126,11170,11834,12079,11304,9963,8665,7653,5113,4269,2827,1465,578,72,11729,11642,10623,9858,10199,12345,12684,10636,11203,11278,11222,9741,8381,7984,5789,5357,4242,2693,1411,339
02T,215948,107319,108629,6819,6717,6444,6591,6474,6712,7065,6650,8122,8623,7888,6921,6151,5943,3986,2884,1860,1007,404,58,6506,6709,6038,6127,6277,6947,6922,6528,8051,8222,7748,6785,6072,6003,4256,3536,2811,1876,957,258
02V,206546,103065,103481,6487,6294,5557,5655,6408,8410,8881,8035,7692,7411,6662,5776,5058,4743,3372,2967,2002,1127,446,82,6206,5822,5303,5453,6604,8738,8369,7178,7064,7011,6742,5608,5151,5175,3780,3432,2788,1886,897,274
02W,120472,64343,56129,5471,5589,4932,4580,6510,6889,7465,5649,4442,3177,2423,2145,1868,928,793,734,440,206,71,31,5322,5344,4727,4658,6049,5869,5210,3961,3372,2560,1987,1890,1522,981,849,776,589,296,127,40
02X,311073,154391,156682,9679,9475,8637,9212,9745,10162,10107,9122,10632,11557,11617,10050,8913,8674,6177,4830,3350,1788,567,97,9171,9209,8296,8976,9415,10501,9801,8483,10322,11659,11256,9788,9019,9065,6610,6008,4580,2845,1350,328
02Y,301198,148432,152766,7537,7844,7858,8607,8494,7631,7454,7587,9902,11038,11406,10325,10184,11158,7925,6239,4211,2170,746,116,6897,7574,7559,8315,7753,7556,7409,7873,10295,11387,11253,10316,10510,11797,8368,7121,5225,3319,1798,441
03A,241880,120892,120988,7376,7444,6727,7469,9377,8265,8054,7513,8943,9340,8477,7204,6588,6478,4319,3494,2150,1181,423,70,7210,7131,6492,7100,8800,7992,7849,7385,8662,8724,8225,7025,6501,6701,4694,4102,3096,2004,1021,274
03C,363329,180911,182418,10202,9117,7954,11379,21811,18021,15655,12723,12261,12116,10671,9058,8052,7522,5143,4147,2850,1542,594,93,9625,8776,7459,12893,25598,16911,13771,10881,11073,11020,10201,8781,7900,8031,5739,5244,4106,2704,1353,352
03D,142386,69777,72609,3400,3669,3927,4008,3572,3521,3330,3162,4342,5317,5647,5065,5050,5462,3829,2974,2004,1050,389,59,3312,3405,3567,3826,3467,3725,3452,3479,4652,5680,5685,5057,5238,5571,3987,3393,2496,1626,791,200
03E,160625,79013,81612,4100,4535,4469,4506,4040,4186,4588,4597,5769,6488,6488,5478,4666,5107,3585,2899,1924,1096,425,67,3856,4260,4296,4403,3812,4353,4605,4599,5796,6654,6139,5368,4951,5239,3945,3457,2628,1921,1027,303
03F,288911,145918,142993,9750,8844,7716,8884,11406,11247,10509,9753,10540,10822,10207,8688,7562,7035,4530,3963,2617,1306,470,69,9270,8369,7140,8478,11823,11247,9977,8359,9251,9815,9688,8168,7349,6926,5165,4650,3712,2274,1081,251
03G,267222,135563,131659,9732,8717,7553,7824,8788,10405,11317,10068,10295,9960,8942,7221,6434,6190,4412,3667,2345,1242,394,57,9207,8488,7305,7502,8920,10150,10044,8470,8953,9015,8151,7087,6373,6273,4938,4405,3172,2011,955,240
03H,168357,84330,84027,5135,5103,4599,5125,5397,5763,5074,4689,5893,6324,6341,5411,5010,4913,3446,2810,1969,927,347,54,4887,4744,4426,4832,5279,5523,5107,4346,5464,6294,6075,5197,4734,5005,3686,3308,2556,1555,792,217
03J,188164,94274,93890,6630,6716,6162,6144,6102,6521,6848,6236,6988,6878,6021,5260,4836,4548,3206,2588,1471,794,278,47,6382,6460,5981,5756,5979,6797,6637,5878,6523,6401,5711,5044,4728,4685,3487,2905,2227,1405,702,202
03K,170080,84942,85138,4765,5057,4714,5014,4997,5229,5038,4638,5737,6733,6489,5602,5376,5422,3844,3023,1858,1011,344,51,4724,4701,4470,4756,4777,5099,4970,4492,5679,6420,6175,5629,5349,5456,4009,3227,2538,1601,846,220
03L,257937,128114,129823,7787,7958,7405,7940,8128,8127,8041,7441,9304,10018,9333,8020,7388,7556,5166,4032,2583,1364,446,77,7669,7554,7137,7547,8001,8180,8128,7225,9006,9575,8965,7987,7365,7769,5649,4922,3579,2176,1104,285
03M,118161,58593,59568,2989,2980,3085,3635,3633,3471,3231,2906,3641,4274,4461,3910,3882,4144,3051,2387,1582,919,336,76,2780,2873,2838,3284,3461,3276,2926,2859,3654,4228,4296,4056,3988,4404,3291,2769,2187,1443,745,210
03N,583278,294258,289020,17117,16670,15192,19254,30408,24154,20865,18785,20485,21002,18950,15859,13745,13566,10201,8226,5403,3035,1146,195,16307,15966,14515,19209,30050,21902,19160,16323,18684,19158,17812,15100,13519,14565,11085,9900,7557,4895,2586,727
03Q,347244,169955,177289,8719,9023,8426,10926,13639,11676,11072,10173,11815,12617,12211,10588,9848,10080,6862,5471,3817,2022,850,120,8266,8755,8323,11660,15839,11591,10821,9892,11641,12447,12151,10506,9910,10651,7568,6644,5057,3361,1751,455
03R,358882,179087,179795,11016,10561,9716,10519,11253,12048,11982,10941,13464,14360,13146,11240,10294,10282,7076,5419,3426,1697,557,90,10298,9996,9395,10020,10956,12089,11593,10184,12901,13833,12665,11229,10393,10612,7677,6314,4870,2939,1432,399
03T,243650,120189,123461,6160,6241,6064,6861,6703,6803,6383,5846,7246,8473,8529,7976,8289,9666,7162,5418,3634,1959,654,122,6044,6023,5848,6414,6380,6854,6183,5813,7464,8678,8808,8336,8701,9758,7402,5791,4410,2795,1368,391
03V,72427,36124,36303,2525,2395,2107,2087,2291,2660,2930,2431,2556,2819,2714,2224,1803,1562,1143,913,529,297,129,9,2452,2314,2045,2043,2387,2977,2758,2267,2353,2724,2567,2164,1813,1633,1293,1014,762,480,207,50
03W,321553,158603,162950,8694,9216,9198,10154,8395,8621,8750,8860,11209,12556,12235,10492,9892,10232,7347,5743,3993,2117,766,133,8167,8663,8811,9122,8278,8615,9186,9319,11537,12664,12114,10295,10133,10638,7792,6809,5205,3395,1764,443
03X,97131,48577,48554,2835,2712,2497,2851,2974,3042,3075,2841,3635,3969,3708,3134,2794,2959,2078,1567,1109,558,206,33,2575,2502,2371,2741,2854,3113,3009,2790,3511,3873,3542,3000,2770,3002,2207,1834,1407,904,440,109
03Y,102177,50900,51277,2865,2840,2630,3060,3127,3062,2974,2760,3616,4148,3864,3348,3147,3282,2427,1734,1189,574,206,47,2662,2695,2619,2879,2936,3053,2937,2657,3627,3969,3608,3248,3050,3392,2575,1996,1592,1067,569,146
04C,377052,191718,185334,12908,12745,11159,12640,18740,17618,17400,14644,13131,12125,11472,9824,8243,6318,4446,3712,2545,1379,539,130,12645,11857,10384,12860,20703,17046,14981,11946,11454,11049,10570,9060,7766,6334,4924,4491,3438,2335,1162,329
04D,229953,112798,117155,6600,6473,6099,7350,8460,7431,6924,6246,7410,8162,8163,6737,6417,6816,5109,3850,2584,1375,525,67,6257,6109,5745,7565,9172,7634,7198,6358,7661,8392,7976,6798,6666,6995,5346,4301,3326,2191,1173,292
04E,186539,92480,94059,5853,5483,4894,5251,5682,6159,6218,5443,6622,7320,6803,5927,5465,5303,3944,2855,1821,1031,351,55,5739,5245,4595,5108,5712,6335,6097,5395,6302,7075,6814,5764,5332,5558,4249,3425,2592,1710,802,210
04F,276088,138254,137834,10342,9898,8831,8256,7773,9423,11237,11270,11225,10691,9358,8005,6791,5847,3731,2615,1667,908,340,46,9776,9356,8404,7694,7900,10372,11514,10805,10408,10007,8951,7817,6977,5997,3914,3039,2327,1544,830,202
04G,645773,322162,323611,20568,20380,18983,19191,19241,20580,22062,21599,24689,25823,23064,19229,17630,17993,11906,8674,5919,3171,1253,207,19534,19964,18129,18327,19551,21467,22089,20711,23613,24474,22115,18670,17921,18326,12418,9786,7561,5359,2857,739
04H,129552,63959,65593,3604,3592,3605,3860,3735,3698,3622,3471,4509,5180,4905,4111,4076,4174,2974,2239,1524,755,274,51,3413,3602,3391,3547,3690,3673,3610,3531,4639,5126,4803,4282,4040,4374,3186,2599,1975,1295,641,176
04J,289726,143647,146079,7176,7564,7511,8334,8430,7969,8031,7833,10326,11694,11333,10070,9438,9716,6967,5214,3423,1834,682,102,7109,7337,7133,7643,7915,7754,7616,7760,10092,11455,10967,9877,9584,10265,7451,6220,4671,3154,1662,414
04K,355006,183355,171651,11273,9988,8469,13097,25435,19524,16295,13095,12126,11351,10058,7995,6856,5885,4131,3441,2486,1294,492,64,10620,9567,8027,13516,26305,15116,12964,10106,9974,10136,9356,7646,6399,5915,4579,4230,3431,2385,1122,257
04L,147729,72741,74988,4432,4230,3902,4029,4203,4409,4582,4258,5197,5862,5579,4636,4348,4483,3111,2590,1692,853,298,47,4071,3956,3680,3962,4198,4660,4599,4374,5295,5746,5504,4625,4455,4712,3535,2981,2189,1533,728,185
04M,94112,46255,47857,2755,2584,2316,2501,2672,2944,3091,2914,3388,3672,3383,2833,2687,2866,2076,1557,1155,586,227,48,2690,2456,2188,2467,2586,3146,3187,2828,3342,3599,3354,2815,2805,2997,2255,1889,1533,1035,558,127
04N,122948,60348,62600,3408,3612,3455,3532,3156,3209,3505,3762,4507,4778,4645,3887,3702,3802,2639,2056,1517,808,322,46,3165,3529,3236,3284,3294,3282,3655,3963,4508,4851,4598,3880,3731,4031,2897,2412,2040,1384,697,163
04Q,130430,64169,66261,3457,3654,3777,3994,3447,3335,3275,3187,4435,5085,4983,4342,4094,4490,3246,2482,1627,886,327,46,3348,3604,3665,3699,3348,3390,3393,3484,4795,5317,4960,4188,4267,4575,3465,2619,1951,1308,719,166
04R,537408,270175,267233,16361,16334,15515,16371,17748,17693,18477,17634,20199,21198,19028,15982,14873,14792,10336,7952,5503,2974,1028,177,15771,15330,14285,15511,17289,17328,17415,16266,18893,19933,18250,15524,14696,15143,11116,9230,7268,4907,2456,622
04V,372195,187710,184485,10281,10564,9968,12253,14696,12070,11413,11144,13415,14284,13487,11526,11202,11305,7652,5749,3829,2032,730,110,9767,9759,9607,10830,12923,11144,11369,10818,13094,13723,12938,11195,11286,11325,7973,6288,4913,3342,1745,446
04X,249735,127157,122578,9308,9020,8140,8035,9996,11176,11398,10207,9529,8475,7305,6262,5196,4243,3155,2551,1819,925,346,71,8962,8499,7614,8182,11001,11179,10410,8233,7771,7353,6577,5689,5046,4383,3529,3046,2410,1626,848,220
04Y,133113,66246,66867,3827,3671,3647,4246,4100,4157,3896,3707,4914,5553,5010,4208,3916,4046,2977,2122,1310,690,224,25,3610,3628,3358,3809,4007,4151,4052,3626,4896,5323,4866,4136,4025,4153,3186,2402,1751,1150,571,167
05A,477347,242231,235116,15742,14829,13310,15886,21454,18577,18226,16525,17551,17479,16095,12927,11014,10430,8031,6201,4218,2527,1033,176,14845,14197,12636,15347,20674,18267,17496,14627,15332,15629,14116,11924,10731,10941,8771,7307,5654,3835,2192,595
05C,313576,156100,157476,9324,9011,8895,9523,9427,9724,9542,9041,11278,12261,11045,9547,9084,9273,7140,5591,3705,1936,650,103,8913,8704,8371,8910,9105,9751,9669,8683,10940,11545,10615,9350,9129,9327,7671,6524,5053,3225,1569,422
05D,136561,68057,68504,4135,4084,3954,4000,4052,4307,4487,3958,4924,5454,5021,4448,3847,3818,2865,2180,1432,769,280,42,3969,4070,3745,3847,3971,4239,4172,3900,4659,5344,4938,4139,3874,4058,3093,2508,2037,1235,573,133
05F,182497,90124,92373,4798,4987,4849,5250,4733,4770,4831,4620,5819,6814,6731,6215,6064,6461,4828,3728,2599,1440,502,85,4502,4457,4632,4814,4586,4906,4871,4564,5912,6941,6674,6341,6210,6704,4973,4159,3282,2322,1212,311
05G,214068,106520,107548,5433,5635,5508,6288,7343,6543,6237,5914,7594,7971,7852,6989,6790,7129,5077,3901,2477,1312,448,79,5061,5344,5184,6258,7414,6023,5908,5791,7239,7903,7511,6835,6895,7219,5317,4505,3490,2237,1154,260
05H,184678,91990,92688,5384,5169,4973,5512,5606,5719,5635,5423,6729,7349,6788,5971,5774,5645,4103,2974,1951,911,336,38,5159,5188,4906,5145,5399,5676,5657,5224,6374,7191,6496,5744,5703,5892,4344,3379,2600,1611,816,184
05J,172379,86080,86299,5158,5256,4879,5206,4910,5138,5480,5375,6135,6700,6203,5549,5408,5311,3660,2542,1776,994,352,48,4772,4881,4460,4908,4735,5161,5497,5160,6032,6477,6136,5712,5515,5277,3646,2922,2380,1589,828,211
05L,547000,279736,267264,20239,19231,17175,17745,21806,24558,24010,20989,20849,19579,16814,13936,11403,9594,7928,6450,4351,2167,779,133,18833,18409,15972,17114,22202,23617,22106,17362,17481,17366,15507,12575,10952,9833,8762,7708,5713,3625,1697,430
05N,300751,148478,152273,7416,7863,8212,9313,8032,7787,7516,7458,10020,11448,11379,10137,9964,10716,8003,6077,4095,2108,794,140,6959,7523,7843,8407,7302,7576,7572,7619,10157,11686,11246,10202,10262,11222,8614,6766,5250,3525,1998,544
05P,239813,117774,122039,7158,7283,7093,7425,6869,7042,7190,6835,8455,9448,8556,7264,6381,6900,4972,3810,2776,1656,568,93,6758,6764,6602,6976,6760,7456,7471,7005,8460,9229,8845,6990,6844,7373,5514,4701,3903,2677,1356,355
05Q,212988,105488,107500,5907,6200,5841,6180,6078,6342,6397,6123,7874,8390,7651,6743,6556,6684,5021,3648,2261,1144,391,57,5630,5696,5532,5812,5998,6324,6418,6107,7694,8110,7728,7069,6666,6987,5383,4094,3068,1961,975,248
05R,274533,137414,137119,7120,7541,7309,7516,7147,8523,9073,9126,10163,10969,10405,8837,8180,8560,6184,4877,3214,1869,681,120,6825,7176,6837,6987,6828,8104,8384,8323,9834,10605,9885,8465,8334,8914,6669,5604,4239,3017,1652,437
05T,295947,146314,149633,7849,8173,7952,8809,8290,8138,8529,8242,10263,11516,11118,9566,9226,9593,6948,5505,3763,1961,759,114,7627,7722,7824,8453,8146,8271,8524,8276,10102,11250,10677,9513,9561,9873,7524,6077,4837,3206,1732,438
05V,145258,73067,72191,3669,3856,3622,4122,4674,4423,4395,4118,5265,5720,5384,4768,4599,4825,3742,2793,1785,919,329,59,3389,3756,3526,3666,3811,3986,4074,3933,4990,5581,5315,4686,4640,5152,3931,3079,2231,1469,780,196
05W,282231,142759,139472,9417,8942,7651,8319,10220,10614,10378,9079,10260,10417,9729,8502,7616,7405,5487,4132,2691,1408,444,48,9088,8767,7298,7967,9738,10280,9515,7932,9273,9646,8919,8004,7309,7471,5786,4868,3789,2409,1170,243
