hb_code,hb_name,hb_cdo,hb_id,latitude,longitude
S08000001,Ayrshire and Arran,SA9,A,55.56617569,-4.609001654
S08000002,Borders,SB9,B,55.60719345,-2.700453546
S08000003,Dumfries and Galloway,SY9,Y,55.02778474,-3.820252751
S08000004,Fife,SF9,F,56.16307275,-3.200161141
S08000005,Forth Valley,SV9,V,56.06499028,-3.852016162
S08000006,Grampian,SN9,N,57.3067537,-2.392305689
S08000007,Greater Glasgow and Clyde,SJ9,G,55.86898807,-4.344957401
S08000008,Highland,SK9,H,57.14428949,-4.576283947
S08000009,Lanarkshire,SL9,L,55.8023507,-4.002656725
S08000010,Lothian,SS9,S,55.92677663,-3.242275722
S08000011,Orkney,SR9,R,59.00022226,-3.02640937
S08000012,Shetland,SZ9,Z,60.22043173,-1.216115067
S08000013,Tayside,ST9,T,56.49641647,-3.087115032
S08000014,Western Isles,SW9,W,57.99198078,-6.676736083
