outcode,latitude,longitude
AB10,57.13550749,-2.119440728
AB11,57.13915526,-2.093001073
AB12,57.10247626,-2.112178138
AB14,57.10146806,-2.271832625
AB16,57.15994567,-2.156701595
AB23,57.2121331,-2.088506754
AB25,57.15261971,-2.11417128
AB30,56.84661502,-2.478323141
AB32,57.1550439,-2.31765985
AB33,57.2247778,-2.742313494
AB43,57.65720536,-2.044111067
AB45,57.65133925,-2.567732171
AB53,57.52478682,-2.394358028
AB99,57.111325,-2.094001
AL1,51.74880877,-0.322289265
AL3,51.77984988,-0.375957484
AL5,51.81642394,-0.352927911
AL6,51.83207231,-0.199028356
AL8,51.80365168,-0.211317023
AL9,51.74527348,-0.198772787
B10,52.46987529,-1.852304679
B12,52.46052008,-1.883869841
B15,52.46636304,-1.924457355
B16,52.47625622,-1.933456539
B17,52.46119387,-1.960462464
B18,52.49149967,-1.925177313
B21,52.50613138,-1.939783321
B23,52.52832848,-1.854856841
B25,52.46482281,-1.822327045
B26,52.46129377,-1.79044277
B29,52.43749062,-1.948754776
B32,52.4488644,-1.994666532
B35,52.51859995,-1.789182706
B36,52.50436286,-1.779189949
B37,52.47857131,-1.742315898
B38,52.3999301,-1.934786276
B4,52.48279218,-1.894496995
B43,52.54839325,-1.930086858
B44,52.54571218,-1.88516698
B49,52.21735396,-1.868037417
B5,52.46942827,-1.897763888
B60,52.32529568,-2.052152921
B62,52.45728216,-2.034351708
B64,52.47239088,-2.068991504
B67,52.48588211,-1.978586896
B68,52.47848216,-2.001366125
B7,52.49408704,-1.87297843
B71,52.53582669,-1.990541063
B73,52.55530976,-1.840924038
B75,52.5786524,-1.809204054
B76,52.5438386,-1.783487408
B79,52.65076885,-1.682133565
B8,52.49107703,-1.841498174
B9,52.47825844,-1.850564923
B90,52.40062292,-1.82582528
B92,52.43687156,-1.774574284
B94,52.35043029,-1.793394868
B97,52.29967685,-1.953890968
B98,52.30275035,-1.914342322
BA11,51.23287972,-2.32549693
BA13,51.26197908,-2.181722969
BA15,51.34794171,-2.258351516
BA16,51.12460399,-2.745199837
BA2,51.35939855,-2.379451488
BA20,50.9382277,-2.644915207
BA22,50.96898039,-2.63766019
BA5,51.21302781,-2.654970304
BA6,51.1416978,-2.706574915
BA7,51.08919759,-2.519051409
BA8,50.99760606,-2.411739039
BB11,53.78302856,-2.253274677
BB12,53.80351062,-2.291773012
BB18,53.91456054,-2.171842719
BB2,53.74180222,-2.501300094
BB6,53.79251381,-2.418507203
BB7,53.87357052,-2.387832089
BB8,53.85801386,-2.163363024
BB94,53.915257,-2.138036
BD10,53.83272992,-1.725596522
BD11,53.75151335,-1.676546604
BD18,53.83146951,-1.777684567
BD2,53.81519075,-1.734742467
BD22,53.845748,-1.954589241
BD23,53.99274008,-2.056508128
BD24,54.08058479,-2.28376196
BD7,53.78349435,-1.784888195
BD8,53.80173054,-1.78360394
BD97,53.850524,-1.837424
BD98,53.837874,-1.780234
BH1,50.72510999,-1.861377723
BH11,50.76181394,-1.91959238
BH12,50.73745783,-1.926706824
BH13,50.7091644,-1.920076564
BH14,50.7216178,-1.944894848
BH16,50.73938227,-2.04593013
BH17,50.74691579,-1.979943786
BH19,50.6115225,-1.970422015
BH20,50.68719215,-2.147544213
BH21,50.81251857,-1.975078667
BH23,50.74664672,-1.75474215
BH25,50.75270969,-1.658033064
BH3,50.73609705,-1.882229949
BH5,50.72533975,-1.83274616
BH6,50.72768565,-1.803401817
BH9,50.74985273,-1.873399558
BL0,53.64841018,-2.317015822
BL11,53.57229869,-2.425404172
BL2,53.58848228,-2.395369057
BL5,53.54878932,-2.516435289
BL6,53.59165386,-2.540099762
BL7,53.63068716,-2.42257987
BL8,53.60419641,-2.326656842
BN11,50.8135979,-0.376596997
BN14,50.83342822,-0.381470269
BN15,50.83032339,-0.325687935
BN17,50.81414407,-0.538947381
BN2,50.8248745,-0.101168243
BN20,50.77473765,0.25247832
BN22,50.78941637,0.283686084
BN23,50.79765806,0.312504148
BN24,50.81628649,0.328939352
BN26,50.82102661,0.221419068
BN41,50.84118723,-0.217060823
BN43,50.8359105,-0.267197516
BN44,50.89193331,-0.320136558
BN5,50.9262961,-0.268075066
BN52,50.83277533,-0.168046667
AB13,57.10914914,-2.239882961
AB15,57.13783908,-2.166217392
AB21,57.21085108,-2.203849939
AB22,57.18643883,-2.12101032
AB24,57.16369678,-2.10807943
AB31,57.07378063,-2.526091747
AB34,57.09393241,-2.813802636
AB35,57.03892161,-3.145443281
AB36,57.19693877,-3.068697681
AB37,57.32911379,-3.35245392
AB38,57.48578621,-3.2266764
AB39,56.97734856,-2.218326276
AB41,57.37534225,-2.105874368
AB42,57.50094843,-1.89207214
AB44,57.66828495,-2.492771993
AB51,57.2882937,-2.404405112
AB52,57.34312132,-2.606521172
AB54,57.45364247,-2.763051354
AB55,57.52395715,-2.990496578
AB56,57.67459272,-2.927672937
AL10,51.76059268,-0.232140515
AL2,51.72003993,-0.334767044
AL4,51.77347007,-0.295305384
AL7,51.79712641,-0.18723651
B1,52.47880749,-1.908808083
B11,52.45489408,-1.859631502
B13,52.43683616,-1.879744385
B14,52.4174554,-1.889920334
B19,52.49696488,-1.906105779
B2,52.47838137,-1.901504719
B20,52.51547104,-1.919389134
B24,52.51970973,-1.82764057
B27,52.44482278,-1.822969342
B28,52.42726552,-1.843185585
B3,52.48110775,-1.903554546
B30,52.42181289,-1.927907978
B31,52.40821866,-1.972814648
B33,52.48051899,-1.788304475
B34,52.49632169,-1.781847098
B40,52.4589329,-1.7235097
