SPC12CD,SPC12NM,SPC12CDO,SPC12NMO
S16000074,Aberdeen Central,74,Aberdeen Central
S16000075,Aberdeen Donside,75,Aberdeen Donside
S16000076,Aberdeen South and North Kincardine,76,Aberdeen South and North Kincardine
S16000077,Aberdeenshire East,77,Aberdeenshire East
S16000078,Aberdeenshire West,78,Aberdeenshire West
S16000079,Airdrie and Shotts,79,Airdrie and Shotts
S16000080,Almond Valley,80,Almond Valley
S16000081,Angus North and Mearns,81,Angus North and Mearns
S16000082,Angus South,82,Angus South
S16000083,Argyll and Bute,83,Argyll and Bute
S16000084,Ayr,84,Ayr
S16000085,Banffshire and Buchan Coast,85,Banffshire and Buchan Coast
S16000086,"Caithness, Sutherland and Ross",86,"Caithness, Sutherland and Ross"
S16000087,"Carrick, Cumnock and Doon Valley",87,"Carrick, Cumnock and Doon Valley"
S16000088,Clackmannanshire and Dunblane,88,Clackmannanshire and Dunblane
S16000089,Clydebank and Milngavie,89,Clydebank and Milngavie
S16000090,Clydesdale,90,Clydesdale
S16000091,Coatbridge and Chryston,91,Coatbridge and Chryston
S16000092,Cowdenbeath,92,Cowdenbeath
S16000093,Cumbernauld and Kilsyth,93,Cumbernauld and Kilsyth
S16000094,Cunninghame North,94,Cunninghame North
S16000095,Cunninghame South,95,Cunninghame South
S16000096,Dumbarton,96,Dumbarton
S16000097,Dumfriesshire,97,Dumfriesshire
S16000098,Dundee City East,98,Dundee City East
S16000099,Dundee City West,99,Dundee City West
S16000100,Dunfermline,100,Dunfermline
S16000101,East Kilbride,101,East Kilbride
S16000102,East Lothian,102,East Lothian
S16000103,Eastwood,103,Eastwood
S16000104,Edinburgh Central,104,Edinburgh Central
S16000105,Edinburgh Eastern,105,Edinburgh Eastern
S16000106,Edinburgh Northern and Leith,106,Edinburgh Northern and Leith
S16000107,Edinburgh Pentlands,107,Edinburgh Pentlands
S16000108,Edinburgh Southern,108,Edinburgh Southern
S16000109,Edinburgh Western,109,Edinburgh Western
S16000110,Na h-Eileanan an Iar,110,Na h-Eileanan an Iar
S16000111,"Ettrick, Roxburgh and Berwickshire",111,"Ettrick, Roxburgh and Berwickshire"
S16000112,Falkirk East,112,Falkirk East
S16000113,Falkirk West,113,Falkirk West
S16000114,Galloway and West Dumfries,114,Galloway and West Dumfries
S16000115,Glasgow Anniesland,115,Glasgow Anniesland
S16000116,Glasgow Cathcart,116,Glasgow Cathcart
S16000117,Glasgow Kelvin,117,Glasgow Kelvin
S16000118,Glasgow Maryhill and Springburn,118,Glasgow Maryhill and Springburn
S16000119,Glasgow Pollok,119,Glasgow Pollok
S16000120,Glasgow Provan,120,Glasgow Provan
S16000121,Glasgow Shettleston,121,Glasgow Shettleston
S16000122,Glasgow Southside,122,Glasgow Southside
S16000123,Greenock and Inverclyde,123,Greenock and Inverclyde
S16000124,"Hamilton, Larkhall and Stonehouse",124,"Hamilton, Larkhall and Stonehouse"
S16000125,Inverness and Nairn,125,Inverness and Nairn
S16000126,Kilmarnock and Irvine Valley,126,Kilmarnock and Irvine Valley
S16000127,Kirkcaldy,127,Kirkcaldy
S16000128,Linlithgow,128,Linlithgow
S16000129,Mid Fife and Glenrothes,129,Mid Fife and Glenrothes
S16000130,Midlothian North and Musselburgh,130,Midlothian North and Musselburgh
S16000131,"Midlothian South, Tweeddale and Lauderdale",131,"Midlothian South, Tweeddale and Lauderdale"
S16000132,Moray,132,Moray
S16000133,Motherwell and Wishaw,133,Motherwell and Wishaw
S16000134,North East Fife,134,North East Fife
S16000135,Orkney Islands,135,Orkney Islands
S16000136,Paisley,136,Paisley
S16000137,Perthshire North,137,Perthshire North
S16000138,Perthshire South and Kinross-shire,138,Perthshire South and Kinross-shire
S16000139,Renfrewshire North and West,139,Renfrewshire North and West
S16000140,Renfrewshire South,140,Renfrewshire South
S16000141,Rutherglen,141,Rutherglen
S16000142,Shetland Islands,142,Shetland Islands
S16000143,"Skye, Lochaber and Badenoch",143,"Skye, Lochaber and Badenoch"
S16000144,Stirling,144,Stirling
S16000145,Strathkelvin and Bearsden,145,Strathkelvin and Bearsden
S16000146,Uddingston and Bellshill,146,Uddingston and Bellshill
