hb_code,ind_no,ind_desc,year,number,measure,lcl,ucl
S08000014,72,% of diabetes pop (T2) with previous lower limb amputation,2011,0.56710775,6,0.260158497,1.231740107
S08000014,71,% of diabetes pop (T1) with previous lower limb amputation,2011,0.549450549,1,0.097054951,3.046267104
S08000014,70,% of diabetes pop (T2) with diabetic retinopathy,2011,23.71,229,21.13,26.49
S08000014,69,% of diabetes pop (T1) with diabetic retinopathy,2011,55,88,47.26,62.5
S08000014,68,% of diabetes pop (T2) with end-stage renal failure,2011,0.283553875,3,0.096478001,0.830364572
S08000014,67,% of diabetes pop (T1) with end-stage renal failure,2011,0,0,0,2.067136744
S08000014,66,% of diabetes pop (T2) with eGFR <15,2011,0.292682927,3,0.099585647,0.856985316
S08000014,65,% of diabetes pop (T1) with eGFR <15,2011,0,0,0,2.433832399
S08000014,64,% of diabetes pop (T2) with previous stroke,2011,4.442344045,47,3.356985556,5.857345471
S08000014,63,% of diabetes pop (T1) with previous stroke,2011,1.098901099,2,0.301871114,3.917636251
S08000014,62,% of diabetes pop (T2) with previous cardiac revascularisation,2011,5.482041588,58,4.264500007,7.021703133
S08000014,15,% of diabetes pop (T2) with previous foot ulcer,2011,1.417769376,15,0.861037143,2.326029553
S08000014,14,% of diabetes pop (T1) with previous foot ulcer,2011,0.549450549,1,0.097054951,3.046267104
S08000014,3,Crude prevalence T2 diabetes,2011,4.04,1058,3.81,4.28
S08000014,2,Crude prevalence of T1 diabetes,2011,0.69,182,0.65,0.76
S08000014,1,Age/sex standardised prevalence of T1 diabetes,2011,0.76,182,0.65,0.88
S08000014,61,% of diabetes pop (T1) with previous cardiac revascularisation,2011,1.098901099,2,0.301871114,3.917636251
S08000014,58,% of diabetes pop (T2) current smokers,2011,17.13185756,178,14.69511895,19.19332543
S08000014,57,% of diabetes pop (T1) current smokers,2011,24.41860465,42,17.60206917,29.66485062
S08000014,56,% of diabetes pop (T2) with cholesterol >5mmol,2011,24.82197355,244,22.22297478,27.61699953
S08000014,55,% of diabetes pop (T1) with cholesterol >5mmol,2011,26.20689655,38,19.72939903,33.91259354
S08000014,54,% of diabetes pop (T2) with SBP <=140mmHg,2011,69.7,,66.83,72.5
S08000014,34,% of diabetes pop (T2) with a recorded smoking status,2011,98.20415879,1039,97.21217018,98.84735508
S08000014,33,% of diabetes pop (T1) with a recorded smoking status,2011,94.50549451,172,90.18253363,96.98847652
S08000014,32,% of diabetes pop (T2) with recorded cholesterol,2011,92.91115312,983,91.20447253,94.30734016
S08000014,31,% of diabetes pop (T1) with recorded cholesterol,2011,81.92090396,145,75.5928794,86.89274338
S08000014,30,% of diabetes pop (T2) with recorded  BP,2011,95.65217391,1012,94.24932181,96.72469917
S08000014,29,% of diabetes pop (T1) with recorded  BP,2011,86.81318681,158,81.12844423,90.97597157
S08000014,28,% of diabetes pop (T2) with recorded HbA1c,2011,95.74669187,1013,94.35614274,96.80623025
S08000014,27,% of diabetes pop (T1) with recorded HbA1c,2011,96.15384615,175,92.27489451,98.12467157
S08000014,26,% of diabetes pop with recorded BMI,2011,86.63967611,1070,84.6280648,88.42405099
S08000014,25,Crude mortality rate for all people with diabetes,2011,2.89514867,37,2.107627864,3.965010128
S08000014,24,Estimated % pop with undiagnosed diabetes,2011,2.7,698,,
S08000014,23,Age/sex standardised prevalence of T2 diabetes,2011,2.52,1058,2.36,2.68
S08000014,53,% of diabetes pop (T1) with SBP <= 140mmHg,2011,77.42,,70.22,83.29
S08000014,52,% of diabetes pop (T2) with HbA1c > 75mmol/mol,2011,18.26258638,185,16.00469741,20.76028152
S08000014,51,% of diabetes pop (T1) with HbA1c > 75mmol/mol,2011,40,70,33.03154301,47.39806621
S08000014,50,% of diabetes pop (T2) obese (BMI>=30),2011,57.47001091,527,54.24545283,60.63224167
S08000014,49,% of diabetes pop (T1) obese (BMI>=30),2011,24.18300654,37,18.08421256,31.54649766
S08000014,48,% of diabetes pop (T2) with recorded foot risk,2011,76.74858223,812,74.10907587,79.19454305
S08000014,47,% of diabetes pop (T1) with recorded foot risk,2011,58.79120879,107,51.5303689,65.68859607
S08000014,46,% of diabetes pop (T2) with recorded pulses,2011,84.59357278,895,82.29338399,86.64345179
S08000014,45,% of diabetes pop (T1) with recorded pulses,2011,62.08791209,113,54.8580381,68.81803874
S08000014,44,% of diabetes pop (T2) with recorded eye screen,2011,77.97731569,825,75.3814841,80.37071096
S08000014,43,% of diabetes pop (T1) with recorded eye screen,2011,79.0960452,140,72.51931441,84.43660723
S08000014,42,% of diabetes pop (T2) with recorded eGFR,2011,71.3610586,755,68.56351565,74.00403868
S08000014,41,% of diabetes pop (T1) with recorded eGFR,2011,50.61728395,82,42.99364477,58.21232526
S08000014,40,% of diabetes pop (T2) with recorded microalbumin,2011,82.32514178,871,79.91080845,84.50557908
S08000014,39,% of diabetes pop (T1) with recorded microalbumin,2011,76.83615819,136,70.09084436,82.44131638
S08000014,38,% of diabetes pop (T2) with recorded creatinine,2011,96.88090737,1025,95.65204617,97.77055094
S08000014,37,% of diabetes pop (T1) with recorded creatinine,2011,89.83050848,159,84.49864327,93.47014267
