code,year,t1dm,t2dm,other,midyrpe,prevalence_n,prevalence_p
S08000001,2011,2221,17919,35,366860,20175,5.50%
S08000002,2011,614,4846,33,112870,5493,4.87%
S08000003,2011,893,7236,39,148190,8168,5.51%
S08000004,2011,1969,16164,59,364945,18192,4.98%
S08000005,2011,1606,12528,67,293386,14201,4.84%
S08000006,2011,3053,20902,85,550620,24040,4.37%
S08000007,2011,6180,50005,527,1203870,56712,4.71%
S08000008,2011,1758,12479,128,310830,14365,4.62%
S08000009,2011,3513,24998,118,562477,28629,5.09%
S08000010,2011,4175,29551,298,836711,34024,4.07%
S08000011,2011,120,853,0,20110,973,4.84%
S08000012,2011,124,871,4,22400,999,4.46%
S08000013,2011,1864,18104,98,402641,20066,4.98%
S08000014,2011,182,1058,1,26190,1241,4.74%
S08000001,2010,2238,16775,62,367160,19075,5.20%
S08000002,2010,601,4728,26,112680,5355,4.75%
S08000003,2010,888,6836,47,148510,7771,5.23%
S08000004,2010,1911,15480,76,363385,17467,4.81%
S08000005,2010,1568,12007,43,291383,13618,4.67%
S08000006,2010,3045,20227,85,544980,23357,4.29%
S08000007,2010,6115,48090,265,1199026,54470,4.54%
S08000008,2010,1706,12100,108,310530,13914,4.48%
S08000009,2010,3480,23840,130,562215,27450,4.88%
S08000010,2010,4109,28279,329,826231,32717,3.96%
S08000011,2010,116,807,0,19960,923,4.62%
S08000012,2010,119,834,5,22210,958,4.31%
S08000013,2010,1837,17283,103,399550,19223,4.81%
S08000014,2010,177,993,0,26180,1170,4.47%
S08000001,2009,2234,15754,21,367510,18009,4.90%
S08000002,2009,596,4530,5,112430,5131,4.56%
S08000003,2009,871,6453,16,148580,7340,4.94%
S08000004,2009,1896,14718,52,361815,16666,4.61%
S08000005,2009,1526,11543,11,290047,13080,4.51%
S08000006,2009,2976,19361,53,539630,22390,4.15%
S08000007,2009,5923,46345,203,1194675,52471,4.39%
S08000008,2009,1688,11470,28,309900,13186,4.25%
S08000009,2009,3454,22794,54,561174,26302,4.69%
S08000010,2009,4019,27506,215,817727,31740,3.88%
S08000011,2009,118,776,0,19890,894,4.49%
S08000012,2009,114,792,1,21980,907,4.13%
S08000013,2009,1771,16283,42,396942,18096,4.56%
S08000014,2009,181,939,0,26200,1120,4.27%
S08000001,2008,2209,14764,19,367020,16992,4.63%
S08000002,2008,596,4295,11,111430,4902,4.40%
S08000003,2008,884,6098,21,148300,7003,4.72%
S08000004,2008,1826,14041,70,360428,15937,4.42%
S08000005,2008,1501,11153,7,288473,12661,4.39%
S08000006,2008,2971,18048,126,535290,21145,3.95%
S08000007,2008,6348,45639,346,1192419,52333,4.39%
S08000008,2008,1673,11131,38,308790,12842,4.16%
S08000009,2008,3415,21452,48,560042,24915,4.45%
S08000010,2008,3933,26240,221,809764,30394,3.75%
S08000011,2008,119,746,0,19860,865,4.36%
S08000012,2008,115,752,1,21950,868,3.95%
S08000013,2008,1692,15530,47,394134,17269,4.38%
S08000014,2008,182,883,1,26300,1066,4.05%
S08000001,2007,2235,13590,87,366450,15912,4.34%
S08000002,2007,578,3972,46,110247,4596,4.17%
S08000003,2007,913,5745,78,148030,6736,4.55%
S08000004,2007,1860,13291,220,358858,15371,4.28%
S08000005,2007,1519,10512,123,286053,12154,4.25%
S08000006,2007,2929,16873,820,529889,20622,3.89%
S08000007,2007,5875,41928,495,1191584,48298,4.05%
S08000008,2007,1631,10212,102,306701,11945,3.89%
S08000009,2007,3403,20287,149,558139,23839,4.27%
S08000010,2007,3990,25176,565,801310,29731,3.71%
S08000011,2007,115,703,3,19770,821,4.15%
S08000012,2007,107,740,10,21880,857,3.92%
S08000013,2007,1854,14484,279,391639,16617,4.24%
S08000014,2007,167,846,11,26350,1024,3.89%
