constituency,electorate,rejected_ballots,valid_votes,turnout,winner,con,lab,ld,snp,ind,others
Aberdeen Central,"57,396",136,"25,149",44.2,SNP,"3,100","9,441","2,349","10,058",0,201
Aberdeen Donside,"56,145",84,"26,761",47.8,SNP,"2,166","7,615","1,606","14,790",371,213
Aberdeen S. and N. Kincardine,"54,338",91,"28,653",52.9,SNP,"4,058","5,624","4,994","11,947","1,816",214
Aberdeenshire East,"57,591",81,"30,286",52.7,SNP,"4,211","2,304","4,238","19,533",0,0
Aberdeenshire West,"53,779",113,"28,636",53.5,SNP,"6,027","2,349","8,074","12,186",0,0
Airdrie & Shotts,"51,336",87,"23,894",46.7,SNP,"1,396","9,983",531,"11,984",0,0
Almond Valley,"59,896",86,"30,737",51.5,SNP,"1,886","11,162",656,"16,704",0,329
Angus North & Mearns,"52,124",88,"24,920",48,SNP,"6,374","3,160","1,726","13,660",0,0
Angus South,"54,922",75,"27,643",50.5,SNP,"5,581","3,703",874,"16,164",0,"1,321"
Argyll & Bute,"48,925",120,"26,476",54.4,SNP,"4,847","4,041","3,220","13,390",542,436
Ayr,"61,563",118,"33,373",54.4,Con,"12,997","7,779",713,"11,884",0,0
Banffshire & Buchan Coast,"53,698",95,"25,004",46.7,SNP,"4,592","2,642",958,"16,812",0,0
Caithness Sutherland & Ross,"55,121",142,"28,600",52.1,SNP,"2,934","5,438","6,385","13,843",0,0
"Carrick, Cumnock & Doon Valley","59,368",111,"28,703",48.5,SNP,"4,160","10,669",624,"13,250",0,0
Clackmannanshire & Dunblane,"49,415",77,"27,416",55.6,SNP,"3,501","9,644","1,018","13,253",0,0
Clydebank & Milngavie,"53,018",109,"28,369",53.7,SNP,"2,758","11,564","1,769","12,278",0,0
Clydesdale,"56,828",136,"29,937",52.9,SNP,"4,291","10,715",0,"14,931",0,0
Coatbridge & Chryston,"51,206",105,"23,279",45.7,Lab,"1,317","12,161",381,"9,420",0,0
Cowdenbeath,"54,284",80,"25,670",47.4,Lab,"1,792","11,926",997,"10,679",0,276
Cumbernauld & Kilsyth,"48,006",69,"25,254",52.7,SNP,"1,156","10,136",367,"13,595",0,0
Cunninghame North,"56,548",126,"29,536",52.5,SNP,"4,032","9,422",543,"15,539",0,0
Cunninghame South,"50,926",80,"22,056",43.5,SNP,"1,871","8,645",547,"10,993",0,0
Dumbarton,"53,470",114,"28,508",53.5,Lab,"3,395","12,562",858,"10,923",770,0
Dumfriesshire,"59,716",112,"31,895",53.6,Lab,"9,468","12,624","1,419","8,384",0,0
Dundee City East,"54,404",139,"25,753",47.6,SNP,"2,550","5,862",800,"16,541",0,0
Dundee City West,"53,841",144,"24,461",45.7,SNP,"1,625","7,684","1,063","14,089",0,0
Dunfermline,"55,479",92,"29,299",53,SNP,"2,093","10,420","5,776","11,010",0,0
East Kilbride,"58,251",103,"29,911",51.5,SNP,"2,260","12,410",468,"14,359",414,0
East Lothian,"56,333",117,"32,177",57.3,Lab,"5,344","12,536","1,912","12,385",0,0
Eastwood,"50,476",98,"31,924",63.4,Lab,"10,650","12,662",835,"7,777",0,0
Edinburgh Central,"53,606",224,"29,014",54.5,SNP,"4,354","9,243","5,937","9,480",0,0
Edinburgh Eastern,"55,773",157,"30,728",55.4,SNP,"2,630","12,319","1,227","14,552",0,0
Edinburgh Northern & Leith,"59,138",172,"30,885",52.5,Lab,"2,928","12,858","2,836","12,263",0,0
Edinburgh Pentlands,"52,620",107,"30,049",57.3,SNP,"9,439","7,993","1,420","11,197",0,0
Edinburgh Southern,"54,868",210,"33,796",62,SNP,"6,298","9,254","8,297","9,947",0,0
Edinburgh Western,"56,338",152,"33,452",59.6,SNP,"5,047","7,164","9,276","11,965",0,0
"Ettrick, Roxburgh & Berwickshire","54,327",102,"28,816",53.2,Con,"12,933","2,986","4,990","7,599",308,0
Falkirk East,"56,408",80,"28,168",50.1,SNP,"2,372","10,767",727,"14,302",0,0
Falkirk West,"55,739",111,"28,199",50.8,SNP,"2,086","9,862",644,"15,607",0,0
Galloway & West Dumfries,"56,611",123,"29,997",53.2,Con,"11,071","7,954",763,"10,209",0,0
Glasgow Anniesland,"55,411",105,"23,918",43.4,SNP,"2,011","10,322","1,000","10,329",0,256
Glasgow Cathcart,"58,525",166,"26,222",45.1,SNP,"2,410","10,326","1,118","11,918",450,0
Glasgow Kelvin,"61,893",246,"24,548",40.1,SNP,"1,845","9,758","1,900","10,640",405,0
Glasgow Maryhill & Springburn,"56,622",142,"20,531",36.5,Lab,"1,222","9,884",833,"8,592",0,0
Glasgow Pollok,"58,429",154,"22,915",39.5,Lab,"1,298","10,875",490,"10,252",0,0
Glasgow Provan,"55,138",134,"19,185",35,Lab,777,"10,037",413,"7,958",0,0
Glasgow Shettleston,"55,874",109,"21,204",38.1,SNP,"1,163","9,542",371,"10,128",0,0
Glasgow Southside,"52,325",203,"22,608",43.6,SNP,"1,733","7,957",612,"12,306",0,0
Greenock & Inverclyde,"56,989",132,"28,208",49.7,Lab,"2,011","12,387","1,934","11,876",0,0
